Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1826,MFR--09--- (Room 208),MADGE09--- (Room 104),MSS--09C-- (Room 121),XLDCB09M-- (Room 103),MADER09--- (Room 104),MEN--09C-- (Room A-6),MPHE-09G-- (Room Gym),MMA--09C-- (Room 212)
1827,MEN--09--- (Room A-6),MDR--09--- (Room A-1),MVA--09--- (Room 116),MSC--09--- (Room 211),MMA--09--- (Room 210),MADT-09--- (Room A-7),MSS--09--- (Room 122),MADEM10--- (Room 208)
1828,XBA--09C-L (Room 119),MSC--09C-- (Room 226),MSS--09C-- (Room 121),MVA--09--- (Room 116),MADEM10--- (Room 208),MEN--09C-- (Room A-6),MSP--09--- (Room 207B),XBA--09C-L (Room 119)
1829,MMA--09--- (Room 220),MADD-09--- (Room 105),MPHE-09--- (Room Gym),MEN--09--- (Room 107),MADT-09--- (Room A-7),MSS--09--- (Room 123),MADW-09--- (Room 101),MSC--09--- (Room 226)
1830,MMA--09--- (Room 220),MDR--09--- (Room A-1),MVA--09--- (Room 116),MSC--09--- (Room 211),MADEM10--- (Room 208),MADT-09--- (Room A-7),MPHE-09G-- (Room Gym),MEN--09--- (Room 205B)
1831,MADGE09--- (Room 105),MMA--09--- (Room 210),XLDCB09M-- (Room 103),MEN--09--- (Room 222),MADEM10--- (Room 208),MSS--09--- (Room 121),MSP--09--- (Room 207B),MPHE-09B-- (Room Gym)
1832,MEN--09--- (Room A-6),MMA--09--- (Room 210),MWBDV10IT- (Room 114),MADER09--- (Room 104),MADD-09--- (Room 105),MPHE-09B-- (Room Gym),MSS--09--- (Room 122),MSC--09--- (Room 216)
1833,MADGE09--- (Room 105),MSC--09C-- (Room 226),MWBDV10IT- (Room 114),MEN--09C-- (Room 205A),MSS--09C-- (Room 209),MPHE-09--- (Room Gym),MFR--11--- (Room 107),MADEM10--- (Room 208)
1834,MEN--09--- (Room A-6),MMA--09--- (Room 210),MPHE-09G-- (Room Gym),MDNC-09H-- (Room Studio),MSP--09--- (Room 205A),MSS--09--- (Room 123),MFR--09--- (Room A-2),MSC--09--- (Room 226)
1835,XBA--09C-L (Room 119),MSC--09--- (Room 227),MMA--09H-- (Room 106),MEN--09--- (Room 222),MVA--09--- (Room 116),MFR--09--- (Room 207B),MSS--09--- (Room 205B),XBA--09C-L (Room 119)
