,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
226,SCIENCE 10 (24 students),SCIENCE 9: CHALLENGE (24 students),CHEMISTRY 11 (21 students),PHYSICS 11 (24 students),LIFE SCIENCES 11 (23 students),LIFE SCIENCES 11 (22 students),ANATOMY AND PHYSIOLOGY 12 (24 students),SCIENCE 9 (24 students)
227,,SCIENCE 9 (24 students),CHEMISTRY 11 (24 students),,SCIENCE 10 (24 students),LIFE SCIENCES 11 (24 students),AP PHYSICS C (MECHANICS) 12 external credential (23 students),PHYSICS 12 (24 students)
A-1,,"DRAMA 9 (9 students)
DRAMA 10 (7 students)
DRAMA 11 (6 students)
DRAMA 12 (8 students)",,,,,,
A-2,ENGLISH STUDIES 12 (22 students),COMPOSITION 11 (16 students),ENVIRONMENTAL SCIENCE 11 (20 students),ENGLISH LANGUAGE ARTS 9 (15 students),"ACCOUNTING 11 (21 students)
ACCOUNTING 12 (9 students)",ENGLISH FIRST PEOPLES 12 (30 students),"FRENCH 9 (14 students)
FRENCH 10 (6 students)","ENTREPRENEURSHIP 12 (8 students)
MARKETING AND PROMOTION 11 (22 students)"
A-3,"FRENCH 11 (24 students)
FRENCH 12 (6 students)",BEGINNERS ELL 10 (8 students),ENGLISH LANGUAGE ARTS 9 (30 students),COMPOSITION 10 Challenge (23 students),CRIMINOLOGY 12 (30 students),COMPOSITION 10 (27 students),,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (17 students)
A-6,ENGLISH LANGUAGE ARTS 9 (30 students),COMPOSITION 11 (25 students),ENGLISH STUDIES 12 (28 students),COMPOSITION 11 (30 students),ENGLISH STUDIES 12 CHALLENGE (15 students),ENGLISH LANGUAGE ARTS 9 CHALLENGE (24 students),,EFP WRITING 10 (30 students)
A-7,"ADST - Textiles 9 (13 students)
TEXTILES 10 (5 students)
TEXTILES 11 (5 students)
TEXTILES 12 (7 students)",LITERARY STUDIES 11 Challenge (30 students),EFP WRITING 10 (18 students),LITERARY STUDIES 12 (24 students),"ADST - Textiles 9 (7 students)
TEXTILES 10 (11 students)
TEXTILES 11 (7 students)
TEXTILES 12 (5 students)","ADST - Textiles 9 (6 students)
TEXTILES 10 (12 students)
TEXTILES 11 (4 students)
TEXTILES 12 (8 students)",,"ADST - Textiles 9 (7 students)
TEXTILES 10 (6 students)
TEXTILES 11 (9 students)
TEXTILES 12 (8 students)"
Gym,"PHYSICAL AND HEALTH EDUCATION 9 Linear (23 students)
PHYSICAL AND HEALTH EDUCATION 9 Linear (10 students)
ACTIVE LIVING 11 Football (13 students)
PHYSICAL AND HEALTH EDUCATION 10 Football (13 students)","PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns (10 students)
PHYSICAL AND HEALTH EDUCATION 10 LINEAR (30 students)
YOGA FOR MINDFULNESS 10 (3 students)
YOGA FOR MINDFULNESS 11 (9 students)
YOGA FOR MINDFULNESS 12 (8 students)","PHYSICAL AND HEALTH EDUCATION 9 (18 students)
PHYSICAL AND HEALTH EDUCATION 9 (8 students)
PHYSICAL AND HEALTH EDUCATION 9 Girls (22 students)
PHYSICAL AND HEALTH EDUCATION 9 Girls (5 students)
PHYSICAL AND HEALTH EDUCATION 10 (6 students)
PHYSICAL AND HEALTH EDUCATION 10 (22 students)
PHYSICAL AND HEALTH EDUCATION 10 Girls (8 students)
PHYSICAL AND HEALTH EDUCATION 10 Girls (25 students)",,"PHYSICAL AND HEALTH EDUCATION 9 Linear (10 students)
PHYSICAL AND HEALTH EDUCATION 9 Boys (17 students)
PHYSICAL AND HEALTH EDUCATION 10 Boys (13 students)","ACTIVE LIVING 11 (11 students)
ACTIVE LIVING 12 (19 students)
PHYSICAL AND HEALTH EDUCATION 9 (22 students)
PHYSICAL AND HEALTH EDUCATION 9 Boys (9 students)
PHYSICAL AND HEALTH EDUCATION 10 (8 students)
PHYSICAL AND HEALTH EDUCATION 10 Boys (21 students)","ACTIVE LIVING 11 (14 students)
ACTIVE LIVING 12 (14 students)
PHYSICAL AND HEALTH EDUCATION 9 Girls (22 students)
PHYSICAL AND HEALTH EDUCATION 9 Girls (13 students)
PHYSICAL AND HEALTH EDUCATION 10 Girls (8 students)
PHYSICAL AND HEALTH EDUCATION 10 Girls (17 students)
ACTIVE LIVING 11 Girls (15 students)
ACTIVE LIVING 12 Girls (6 students)","PHYSICAL AND HEALTH EDUCATION 9 Linear (23 students)
PHYSICAL AND HEALTH EDUCATION 9 Boys (9 students)
PHYSICAL AND HEALTH EDUCATION 10 LINEAR (30 students)
PHYSICAL AND HEALTH EDUCATION 10 Boys (21 students)
PHYSICAL AND HEALTH EDUCATION 9 Football (3 students)"
Studio,"DANCE TECHNIQUE AND PERFORMANCE 11 (9 students)
DANCE TECHNIQUE AND PERFORMANCE 12 (10 students)","DANCE 9 Performance and Technique (6 students)
DANCE TECHNIQUE AND PERFORMANCE 10 (3 students)","DANCE FOUNDATIONS 10 (8 students)
DANCE FOUNDATIONS 11 (6 students)
DANCE FOUNDATIONS 12 (7 students)
DANCE 9 Foundations (9 students)","DANCE 9 HIP HOP (18 students)
DANCE CONDITIONING 11 (3 students)
DANCE CONDITIONING 12 (6 students)",,,,
_CHECK THIS THING IDK,,,,,,,,"OUTDOOR EDUCATION 11 (9 students)
OUTDOOR EDUCATION 12 (12 students)
OUTDOOR EDUCATION 10 (9 students)"
