Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1634,SCIENCE 10 (Room 211),SOCIAL STUDIES 10 (Room 205B),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),EFP WRITING 10 (Room 123),COMPUTER PROGRAMMING 11 AI and (Room 203),ADST – MEDIA DESIGN 10 (Room 114),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 212),COMPUTER SCIENCE 11 (Room 203)
1635,SCIENCE 10 (Room 226),ADST-Technology Explorations 10 (Room 104),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),EFP WRITING 10 (Room 123),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 214),FRENCH 10 (Room 207B),Information and Communications Technologies 10 (Room 114),CAREER LIFE EDUCATION 10 (Room 104)
1636,ACCOUNTING 11 (Room 205A),unassigned,EFP WRITING 10 (Room A-7),SOCIAL STUDIES 10 (Room 208),ADST – MEDIA DESIGN 10 (Room 114),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 210),SCIENCE 10 (Room 223)
1637,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 221),unassigned,COMPOSITION 10 (Room 207B),SOCIAL STUDIES 10 (Room 122),SCIENCE 10 (Room 227),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym),ADST – FOOD STUDIES 10 (Room 206),OUTDOOR EDUCATION 10 (Room _CHECK THIS THING IDK)
1638,CAREER LIFE EDUCATION 10 (Room 207B),SOCIAL STUDIES 10 (Room 123),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),VISUAL ARTS: ART STUDIO 10 (Room 116),SCIENCE 10 (Room 227),FRENCH 10 (Room 207B),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 210),EFP WRITING 10 (Room A-6)
1639,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 221),SOCIAL STUDIES 10 (Room 222),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),EFP WRITING 10 (Room 123),SCIENCE 10 (Room 225),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),Information and Communications Technologies 10 (Room 114),COMPUTER SCIENCE 11 (Room 203)
1640,Information and Communications Technologies 10 (Room 114),SOCIAL STUDIES 10 (Room 222),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),EFP WRITING 10 (Room 123),SCIENCE 10 (Room 225),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (Room 210),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),COMPUTER SCIENCE 11 (Room 203)
1641,ADST – FOOD STUDIES 10 (Room 206),LEARNING STRATEGIES 10 (Room 109),EFP WRITING 10 (Room A-7),SOCIAL STUDIES 10 (Room 122),SCIENCE 10 (Room 225),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 212),OUTDOOR EDUCATION 10 (Room _CHECK THIS THING IDK)
1642,CAREER LIFE EDUCATION 10 (Room 104),ADST-Technology Explorations 10 (Room 104),EFP WRITING 10 (Room A-7),SOCIAL STUDIES 10 (Room 207A),SCIENCE 10 (Room 227),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (Room 210),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),COMPUTER SCIENCE 11 (Room 203)
1643,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 210),ADST-Technology Explorations 10 (Room 104),Information and Communications Technologies 10 (Room 114),COMPOSITION 10 Challenge (Room A-3),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym),SOCIAL STUDIES 10 CHALLENGE (Room 208),SCIENCE 10: CHALLENGE (Room 211),ADST – ENTREPRENEURSHIP AND MARKETING 10 (Room 208)
1644,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 210),SOCIAL STUDIES 10 CHALLENGE (Room 122),COMPUTER SCIENCE 11 (Room 203),ADST – POWER TECHNOLOGY 10 (Room 103),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym),FRENCH 10 (Room 207B),SCIENCE 10: CHALLENGE (Room 211),COMPOSITION 10 Challenge (Room 207A)
1645,SCIENCE 10 (Room 211),SOCIAL STUDIES 10 (Room 222),COMPUTER SCIENCE 11 (Room 203),EFP WRITING 10 (Room 123),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (Room 210),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),CAREER LIFE EDUCATION 10 (Room 104)
