Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1117,MPH--12---,MEC--12---,unassigned,MCLC-12--L,MCALC12---,MFOOD12---,MATPH12---,unassigned
1118,MLST-12---,MFOOD12---,unassigned,MCLC-12--L,MENFP12---,YCPA-2AX-L,MATPH12---,YED--2FX-L
1119,MTXT-12---,YED--2CX--,MWPM-11---,MCLC-12--L,MSPLG11---,MACLV12G--,unassigned,unassigned
1120,MFOOD12---,unassigned,MWPM-11---,MCLC-12--L,MENFP12---,MCLE-10---,MEPSS11---,unassigned
1121,unassigned,MLFSC11---,MATPH12---,MCLC-12--L,YESFL1CX--,unassigned,MCH--12---,MPREC12---
1122,MLST-12---,unassigned,MCH--12---,MCLC-12--L,ACAL-12---,unassigned,APHM-12---,YED--2DX-L
1123,MEC--12---,MCH--11---,MATPH12---,MCLC-12--L,MENFP12---,MIMG-12---,MCH--12---,MPREC12---
1124,MPH--12---,MLFSC11---,MATPH12---,MCLC-12--L,MENST12---,unassigned,MCALC12---,MPREC12---
1125,MPH--12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,unassigned,MATPH12---,MPREC12---
1126,MTXT-12---,MFOOD12---,MLFSC11---,MENST12---,unassigned,unassigned,MATPH12---,unassigned
1127,AELC-12---,unassigned,MATPH12---,MCLC-12--L,unassigned,MVAST12---,MCALC12---,MPREC12---
1128,MPH--12---,MLFSC11---,MATPH12---,MCLC-12--L,MENST12---,MFOOD12---,MCH--12---,MPREC12---
1129,unassigned,unassigned,MATPH12---,MENST12---,MPGEO12---,MACLV12G--,MPH--12---,MPREC12---
1130,AELC-12---,unassigned,MCH--12---,MCLC-12--L,MPGEO12---,unassigned,MCALC12---,MPREC12---
1131,MLST-12---,MMACS11---,unassigned,MCLC-12--L,MCALC12---,unassigned,MATPH12---,MPREC12---
1132,MPH--12---,MEC--12---,unassigned,MCLC-12--L,ACAL-12---,YCPA-2AX-L,MLST-12---,YED--2FX-L
1133,AELC-12---,MFOOD12---,unassigned,MCLC-12--L,ACAL-12---,MMUOR12S-L,MPH--12---,MIMJB12--L
1134,MENR-12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,MTROB12--L,APHM-12---,MPREC12---
1135,MFOOD12---,MCMPR11AI-,MWWK-12---,MCLC-12--L,MTAUT12---,unassigned,MENST12---,unassigned
1136,MEC--12---,unassigned,MVAPH12---,MCLC-12--L,MENFP12---,YCPA-2AXE-,MATPH12---,MPREC12---
1137,MECOM12---,MEC--12---,unassigned,MCLC-12--L,MENFP12---,MACC-12---,MCALC12---,MPREC12---
1138,MLST-12---,unassigned,MCH--12---,MCLC-12--L,MENST12---,MPH--11---,MCALC12---,MPREC12---
1139,AELC-12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,unassigned,APHM-12---,unassigned
1140,unassigned,MDRM-12---,unassigned,MACLV12---,MENFP12---,MFOOD12---,unassigned,MIMJB12--L
1141,MEC--12---,unassigned,MSP--12---,MCLC-12--L,ACAL-12---,YCPA-2AXE-,unassigned,MPREC12---
1142,MACC-12---,MECOM12---,MATPH12---,MCLC-12--L,MENFP12---,MAC--11---,unassigned,MPREC12---
1143,unassigned,MFOOD12---,unassigned,MCLC-12--L,MTAUT12---,MACLV12---,MENST12---,unassigned
1144,MENR-12---,MTDRF12---,MCH--12---,MCLC-12--L,ACAL-12---,unassigned,MPH--12---,MPREC12---
1145,MPH--12---,unassigned,MATPH12---,MCH--11---,MENFP12---,unassigned,MCALC12---,unassigned
1146,MFOOD12---,MDRM-12---,MDNC-12--L,MCLC-12--L,MENFP12---,MDCF-12---,unassigned,YED--2CX--
1147,MTXT-12---,unassigned,MATPH12---,MCLC-12--L,MENST12---,unassigned,MCMCL12---,YED--2FX-L
1148,MDNCN12---,unassigned,MCH--12---,MCLC-12--L,MENFP12---,unassigned,MCALC12---,MPREC12---
1149,unassigned,MFOOD12---,MCH--12---,MCLC-12--L,MENST12---,unassigned,MATPH12---,YED--2FX-L
1150,MLST-12---,MCH--11---,MCH--12---,MCLC-12--L,unassigned,MFOOD12---,MCALC12---,MPREC12---
1151,MBSP-11---,unassigned,unassigned,MENFP12---,unassigned,MACLV12G--,MATPH12---,unassigned
1152,unassigned,YED--2CX--,MATPH12---,MCLC-12--L,MENFP12---,unassigned,MLST-12---,MPREC12---
1153,unassigned,MEC--12---,MPREC11---,MCLC-12--L,MEVSC12C--,unassigned,MENST12---,MPREC12---
1154,unassigned,unassigned,unassigned,MCLC-12--L,MENST12---,MACC-12---,MCALC12---,MPREC12---
1155,MDNTP12---,unassigned,MDNC-12--L,MCLC-12--L,MENFP12---,unassigned,MINST12---,MSP--12---
1156,MLST-12---,MFOOD12---,MDNC-12--L,MCLC-12--L,MENST12---,MDCF-12---,MCMCL12---,unassigned
1157,AELC-12---,unassigned,MCH--12---,MCLC-12--L,MTAUT12---,YCPA-2AX-L,MCALC12---,MPREC12---
1158,AELC-12---,unassigned,unassigned,MCLC-12--L,MIMCB12--L,MVAST12---,unassigned,MIMJB12--L
1159,MFOOD12---,MDRM-12---,MDMD-12D--,MENFP12---,unassigned,MWPM-11---,unassigned,unassigned
1160,unassigned,unassigned,MATPH12---,MCLC-12--L,MENFP12---,MPH--11---,MCH--12---,MPREC12---
1161,MCLE-10---,unassigned,MLFSC11---,MACLV12---,MCMPS11---,MFOM-11---,MEPSS11---,MSP--12---
1162,MECOM12---,PBB--2H,unassigned,MCLC-12--L,MENST12---,MACLV12---,MCMCL12---,MPREC12---
1163,unassigned,unassigned,MATPH12---,MCLC-12--L,MENST12---,unassigned,MCALC12---,MPREC12---
1164,MEC--12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,MMUOR12S-L,MPH--12---,MPREC12---
1165,unassigned,MFOOD12---,unassigned,MENFP12---,unassigned,MCLC-12---,unassigned,unassigned
