Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1702,SCIENCE 10: CHALLENGE (Room 226),COMPUTER PROGRAMMING 11 AI and (Room 203),PHYSICAL AND HEALTH EDUCATION (Room Gym),INDEPENDENT DIRECTED STUDIES 1 (Room 123),COMPOSITION 10 Challenge (Room 205A),COMPUTER SCIENCE 11 (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1703,ADST ?  FOOD STUDIES 10 (Room 206),unassigned,ADST ?  POWER TECHNOLOGY 10,SCIENCE 10 (Room 211),COMPOSITION 10 (Room 209),SOCIAL STUDIES 10 (Room A-2),PHYSICAL AND HEALTH EDUCATION (Room Gym),unassigned
1704,FOUNDATIONS OF MATH AND PRE-CA (Room 214),COMPUTER PROGRAMMING 11 AI and (Room 203),ADST ?  POWER TECHNOLOGY 10,SCIENCE 10 (Room 211),unassigned,SOCIAL STUDIES 10 (Room A-2),EFP WRITING 10 (Room A-6),unassigned
1705,SCIENCE 10: CHALLENGE (Room 226),ADST-Technology Explorations 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 205A),COMPUTER SCIENCE 11 (Room 203),unassigned,unassigned
1706,FOUNDATIONS OF MATH AND PRE-CA (Room 214),FRENCH 12 (Room 107),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),unassigned,SOCIAL STUDIES 10 (Room A-2),EFP WRITING 10 (Room A-6),unassigned
1707,ADST ?  FOOD STUDIES 10 (Room 206),TEXTILES 10 (Room 206),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),unassigned
1708,SCIENCE 10: CHALLENGE (Room 226),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),PRE-CALCULUS 11 (Room 210),COMPOSITION 10 Challenge (Room 205A),unassigned,unassigned,COMMUNITY LEADERSHIP 10 Linear (Room 123)
1709,FOUNDATIONS OF MATH AND PRE-CA (Room 214),unassigned,FRENCH 10 (Room 122),SCIENCE 10 (Room 211),DANCE TECHNIQUE AND PERFORMANC (Room Studio),SOCIAL STUDIES 10 (Room A-2),unassigned,unassigned
1710,unassigned,ADST-Technology Explorations 1,SCIENCE 10 (Room 227),MATHEMATICS 9 (Room 106),EFP WRITING 10 (Room A-6),FOUNDATIONS OF MATH AND PRE-CA (Room 214),SOCIAL STUDIES 10 (Room 208),unassigned
1711,ADST ?  FOOD STUDIES 10 (Room 206),VISUAL ARTS: ART STUDIO 10,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),EFP WRITING 10 (Room A-6),FOUNDATIONS OF MATH AND PRE-CA (Room 214),SOCIAL STUDIES 10 (Room 208),LEARNING STRATEGIES 10 (Room A-3)
1712,ADST ?  FOOD STUDIES 10 (Room 206),VISUAL ARTS: ART STUDIO 10,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),EFP WRITING 10 (Room A-6),FOUNDATIONS OF MATH AND PRE-CA (Room 214),SOCIAL STUDIES 10 (Room 208),unassigned
1713,unassigned,DRAMA 10 (Room A-1),unassigned,unassigned,COMPOSITION 10 (Room 209),SPANISH 10 (Room 205B),TEXTILES 10 (Room 206),unassigned
1714,ADST ?  FOOD STUDIES 10 (Room 206),FRENCH 12 (Room 107),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),EFP WRITING 10 (Room A-6),FOUNDATIONS OF MATH AND PRE-CA (Room 214),SOCIAL STUDIES 10 (Room 208),unassigned
1715,SCIENCE 9 (Room 216),TEXTILES 10 (Room 206),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),EFP WRITING 10 (Room A-6),SOCIAL STUDIES 10 (Room A-2),unassigned,LEARNING STRATEGIES 10 (Room A-3)
