Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1424,INSTRUMENTAL MUSIC 11: GUITAR (Room 119),EXPLORATIONS IN SOCIAL STUDIES 11 (Room 107),ACCOUNTING 11 (Room 206),MEDIA DESIGN 11 (Room 114),FOUNDATIONS OF MATHEMATICS 11 (Room 214),LIFE SCIENCES 11 (Room 219),ACTIVE LIVING 11 (Room Gym),COMPOSITION 11 (Room 207A)
1425,unassigned,unassigned,COMPOSITION 11 (Room 208),unassigned,FRENCH 11 (Room 208),CRIMINOLOGY 12 (Room 205A),DANCE TECHNIQUE AND PERFORMANCE 11 (Room Studio),unassigned
1426,DANCE FOUNDATIONS 11 (Room Studio),PRE-CALCULUS 11 (Room 212),CAREER LIFE EDUCATION 10 Linear (Room 104),MEDIA DESIGN 11 (Room 114),COMPOSITION 11 (Room 209),unassigned,CAREER LIFE EDUCATION 10 Linear (Room 104),TEXTILES 11 (Room A-7)
1427,COMPOSITION 11 (Room 209),unassigned,3D ANIMATION 12 (Room 114),unassigned,LIFE SCIENCES 11 (Room 227),ACTIVE LIVING 11 Girls (Room Gym),unassigned,unassigned
1428,LIFE SCIENCES 11 (Room 211),unassigned,FOUNDATIONS OF MATHEMATICS 11 (Room 221),COMPOSITION 11 (Room 208),unassigned,unassigned,EXPLORATIONS IN SOCIAL STUDIES 11 (Room 207B),unassigned
1429,MEDIA DESIGN 11 (Room 114),EXPLORATIONS IN SOCIAL STUDIES 11 (Room 107),COMPOSITION 11 (Room 123),PRE-CALCULUS 11 (Room 221),PHYSICS 11 (Room 219),20th CENTURY WORLD HISTORY 12 (Room 121),ACTIVE LIVING 11 (Room Gym),ROBOTICS 11 (Room 104)
1430,LAW STUDIES 12 (Room A-2),PSYCHOLOGY 11 (Room 205A),CRIMINOLOGY 12 (Room A-3),PRE-CALCULUS 11 (Room 221),COMPOSITION 11 (Room 205B),20th CENTURY WORLD HISTORY 12 (Room 121),AUTOMOTIVE TECHNOLOGY 11 (Room 102),CHEMISTRY 11 (Room 223)
1431,unassigned,CRIMINOLOGY 12 (Room 123),unassigned,FOOD STUDIES 11 (Room 206),unassigned,ACTIVE LIVING 11 Girls (Room Gym),PHOTOGRAPHY 11 (Room 113),unassigned
1432,ENVIRONMENTAL SCIENCE 11 (Room 207B),SOCIAL JUSTICE 12 (Room A-3),COMPOSITION 11 (Room A-6),PRE-CALCULUS 11 (Room 221),unassigned,CRIMINOLOGY 12 (Room 205A),PSYCHOLOGY 11 (Room 207A),LEARNING STRATEGIES 11 (Room 108)
1433,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (Room 222),ENVIRONMENTAL SCIENCE 11 (Room 208),CHEMISTRY 11 (Room 227),PRE-CALCULUS 11 HONOURS (Room 210),LITERARY STUDIES 11 Challenge (Room A-7),DRAMA 11 (Room A-1),OUTDOOR EDUCATION 11 (Room _CHECK THIS THING IDK),PHYSICS 11 (Room 226)
1434,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (Room 222),PHYSICS 11 (Room 223),CAREER LIFE EDUCATION 10 (Room 201),CHEMISTRY 11 (Room 227),LITERARY STUDIES 11 Challenge (Room A-7),ANATOMY AND PHYSIOLOGY 12 (Room 211),PHYSICAL GEOGRAPHY 12 (Room 121),COMPUTER SCIENCE 12 (Room 203)
