,XLDCB09LS-,LEARNING STRATEGIES 9 LD,,,17
,,,,,
,XLDCB09LSL,LEARNING STRATEGIES 9 LD LINEA,,,4
,,,,,
,XLDCB09M--,TECH ED 9: MECHANICS LD,,,2
,,,,,
,XLDCB09S-L,STRINGS 9 LINEAR,,,1
,,,,,
,YCPA-0AX-L,COMMUNITY LEADERSHIP 10 Linear,,,1
,,,,,
,YCPA-0AXE-,COMMUNITY LEADERSHIP 10,,,1
,,,,,
,YCPA-1AX-L,COMMUNITY LEADERSHIP 11 Linear,,,1
,,,,,
,YCPA-1AXE-,COMMUNITY LEADERSHIP 11,,,1
,,,,,
,YCPA-2AX-L,COMMUNITY LEADERSHIP 12 Linear,,,1
,,,,,
,YCPA-2AXE-,COMMUNITY LEADERSHIP 12,,,1
,,,,,
,YED--0AX--,LEARNING STRATEGIES 10,,,17
,,,,,
,YED--0AX-L,LEARNING STRATEGIES 10 LINEAR,,,5
,,,,,
,YED--0BX-L,PEER TUTORING 10 LINEAR,,,1
,,,,,
,YED--1DX--,LEARNING STRATEGIES 11,,,18
,,,,,
,YED--1DX-L,LEARNING STRATEGIES 11 ,,,4
,,,,,
,YED--1EX-L,PEER TUTORING 11 LINEAR,,,1
,,,,,
,YED--2CX--,LEARNING STRATEGIES 12,,,17
,,,,,
,YED--2CX-L,LEARNING STRATEGIES 12 LINEAR,,,3
,,,,,
,YED--2DX-L,PEER TUTORING 12 LINEAR,,,1
,,,,,
,YED--2FX-L,SCHOLARSHIP PREPARATION 12 LIN,,,1
,,,,,
,YESFL0AX--,BEGINNERS ELL 10,,,1
,,,,,
,YESFL1AX--,Intermediate ELL 11,,,0
,,,,,
,YESFL1CX--,ELL Academic Literacy 11,,,1
,,,,,
,YHRA-0AX--,CROSS TRAINING 10,,,1
,,,,,
,YHRA-1AX--,CROSS TRAINING 11,,,1
,,,,,
,YHRA-2AX--,CROSS TRAINING 12,,,1
,,,,,
,YLAW-2CX--,CRIMINOLOGY 12,,,3
,,,,,
,YLRA-0AX-L,ATHLETIC LEADERSHIP 10 U16,,,1
,,,,,
,YLRA-1AX-L,ATHLETIC LEADERSHIP 11 Linear,,,1
,,,,,
,YLRA-2AX-L,ATHLETIC LEADERSHIP 12 Linear,,,1
,,,,,
,YPA--0CX--,YOGA FOR MINDFULNESS 10,,,1
,,,,,
,YPA--1CX--,YOGA FOR MINDFULNESS 11,,,1
,,,,,
,YPA--2CX--,YOGA FOR MINDFULNESS 12,,,1
,,,,,
,YPR--0BX--,OUTDOOR EDUCATION 10,,,1
,,,,,
,YPSYC1AX--,PSYCHOLOGY 11,,,3
